"County Name","County FIPS","Estimated Percent","Lower Confidence Interval","Upper Confidence Interval"
"Alameda County, CA","6001","11.66","9.21","14.10"
"Alpine County, CA","6003","31.38","20.72","42.03"
"Amador County, CA","6005","19.25","11.98","26.53"
"Butte County, CA","6007","21.87","15.81","27.92"
"Calaveras County, CA","6009","20.36","12.67","28.06"
"Colusa County, CA","6011","19.24","11.72","26.76"
"Contra Costa County, CA","6013","12.51","9.69","15.32"
"Del Norte County, CA","6015","22.90","15.32","30.48"
"El Dorado County, CA","6017","17.38","11.13","23.63"
"Fresno County, CA","6019","14.64","11.23","18.04"
"Glenn County, CA","6021","16.05","9.89","22.21"
"Humboldt County, CA","6023","21.18","15.50","26.85"
"Imperial County, CA","6025","19.06","10.39","27.74"
"Inyo County, CA","6027","20.90","13.32","28.47"
"Kern County, CA","6029","18.84","14.61","23.06"
"Kings County, CA","6031","16.61","9.87","23.34"
"Lake County, CA","6033","21.43","13.93","28.94"
"Lassen County, CA","6035","25.24","16.91","33.58"
"Los Angeles County, CA","6037","13.70","12.33","15.07"
"Madera County, CA","6039","17.86","12.37","23.35"
"Marin County, CA","6041","12.18","7.41","16.95"
"Mariposa County, CA","6043","23.17","14.89","31.46"
"Mendocino County, CA","6045","18.21","11.45","24.98"
"Merced County, CA","6047","15.85","10.86","20.84"
"Modoc County, CA","6049","25.96","17.28","34.64"
"Mono County, CA","6051","19.30","11.50","27.10"
"Monterey County, CA","6053","14.13","9.84","18.42"
"Napa County, CA","6055","12.50","7.35","17.65"
"Nevada County, CA","6057","13.98","7.98","19.99"
"Orange County, CA","6059","12.67","10.39","14.96"
"Placer County, CA","6061","16.03","10.75","21.32"
"Plumas County, CA","6063","24.39","15.83","32.95"
"Riverside County, CA","6065","16.33","13.02","19.64"
"Sacramento County, CA","6067","18.55","15.28","21.83"
"San Benito County, CA","6069","11.81","6.04","17.58"
"San Bernardino County, CA","6071","12.06","9.48","14.64"
"San Diego County, CA","6073","13.45","11.27","15.63"
"San Francisco County, CA","6075","17.99","13.84","22.14"
"San Joaquin County, CA","6077","16.59","12.55","20.63"
"San Luis Obispo County, CA","6079","15.63","9.80","21.45"
"San Mateo County, CA","6081","11.16","7.84","14.48"
"Santa Barbara County, CA","6083","13.11","8.90","17.33"
"Santa Clara County, CA","6085","12.02","9.46","14.58"
"Santa Cruz County, CA","6087","14.44","9.85","19.03"
"Shasta County, CA","6089","22.65","15.57","29.74"
"Sierra County, CA","6091","25.31","16.04","34.59"
"Siskiyou County, CA","6093","22.45","14.94","29.96"
"Solano County, CA","6095","15.24","10.93","19.55"
"Sonoma County, CA","6097","13.91","9.88","17.94"
"Stanislaus County, CA","6099","17.01","12.41","21.60"
"Sutter County, CA","6101","23.51","13.82","33.20"
"Tehama County, CA","6103","22.52","16.33","28.70"
"Trinity County, CA","6105","25.67","16.93","34.40"
"Tulare County, CA","6107","16.31","11.55","21.08"
"Tuolumne County, CA","6109","19.75","13.50","26.00"
"Ventura County, CA","6111","12.99","9.06","16.91"
"Yolo County, CA","6113","13.95","8.78","19.12"
"Yuba County, CA","6115","21.30","13.65","28.94"
